Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data type*,Input option,Quantity subtype,Calculation,Validation condition,Optionality*,Functional grouping of data elements,Linkages to decision-support tables,Annotations,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","CIEL
URI",CIEL code title,CIEL relationship,"CIEL
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.D MCH,MISAU.D.DE26,Manual Removal of Placenta?,,boolean,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE27,Had High Blood Pressure or Oedema?,,boolean,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE28,Had Seizures?,,boolean,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE29,Pregnancy Outcome,,coding,"1  live swimming
Stillborn
Miscarriage
Abortion
Ectopic pregnancy
Others
",,,,,,,,,,,,,,,,,,,,,,,161033,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE30,Place of Birth – Institutional (PI),,coding,"Institutional, Out of hospital delivery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE31,Place of Birth – Province,,coding,List of provinces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE32,Place of Birth – District,,coding,List of Districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE33,Place of Birth – Health Unit,,coding,List of health units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE35,Type of Delivery,,coding,"Eutocicus
Sucker
Cesarean section
Other Dystocias
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE36,Premature Birth?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE37,Newborn Weight Category,,coding,"Weight < 2500
Weight > 4000
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE38,Newborn Died in First Week?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE40,Comments (Obstetric History),,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE41,Gravidity (G) – Auto-calc,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE42,Parity (P) – Deliveries,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE43,Abortions (A),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE44,Caesarean Sections,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE45,Live Births (NV),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE46,Stillbirths (NM),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE47,Currently Alive (CA),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE48,Ectopic Pregnancies (GE),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE49,Date of Last Delivery,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE50,Primigravida Under 16 Years?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE51,Had Seizures Outside Pregnancy?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE52,Losing Weight?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE53,Contact with TB Patient?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE54,Cough and Phlegm > 3 Weeks?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE55,Has TB and Undergoing Treatment?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE56,"Very Hungry, Thirsty, Frequent Urination?",,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE57,Pain or Frequent Urination?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Signs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE58,Blood Pressure (Systolic),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE59,Blood Pressure (Diastolic),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE60,Temperature,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE61,Pulse Rate,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE62,Respiratory Rate,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE63,Oxygen Saturation (SpO2),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthropometric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE64,Weight (kg),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE65,Height (m),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE66,BMI,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE67,MUAC,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obstetric Examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE68,Evaluation Date,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE69,Gestational Age at Examination (Weeks),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE70,Perceived Fetal Movements?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE71,Uterine Height (cm),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE72,Fetal Heart Rate (bpm),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE73,Fetal Presentation,,coding,"Cephalic
Pelvic
Transverse
Indeterminate
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE74,Oedema Present?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE75,,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE76,Oedema Location,,coding,"Feet
Hand
Ankle
Face
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE77,Anterior Region Findings,,coding,"Injuries
Itching
Pigmentary changes
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE78,Breast Findings,,coding,"Nodule
Pain
Colostrum
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE79,Pelvis Findings,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE80,Genital Ulcers Present?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE81,Genital Ulcer Location,,coding,"Vulva
Vagina
Cervix
Perianal
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE82,Condyloma Present?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE83,Condyloma Location,,coding,"Vulva
Perianal
Cervix
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE84,Cervical Lesions Present?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE85,Cervical Lesion Type,,coding,"Cervical erosion
Ectopia
Ulcer
Friability
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE86,Discharge Present?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE87,Discharge Type,,coding,"Yellowish
Whitish
Sparkling
Purulent
Foul-smelling
Other
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE88,Rapid HIV Test (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE89,Syphilis Test – Rapid/VDRL (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE90,Haemoglobin (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE91,Blood Sugar (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE92,Blood Group and Rh Factor (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE93,Urine II (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE94,Malaria Test – RDT / Microscopy (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE95,HIV Viral Load (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE96,CD4 Count (Requested),,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE97,Rapid HIV Test Result,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE98,,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE99,Partner HIV Test Result at CPN,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prophlaxis & treatment,,,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE100,Benzathine Penicillin (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE101,Ferrous Salt + Folic Acid (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE102,Nutritional Supplements (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE103,Mebendazole (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE104,Sulfadoxine/Pyrimethamine (SP) (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE105,Misoprostol (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE106,Cotrimoxazole / CTZ (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE107,AZT (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE108,Nevirapine / NVP (Prescribed),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE109,Mosquito Net Received?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE110,Slept Under Net Previous Night?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE111,Cotrimoxazole Allergy?,,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE112,Penicillin Allergy?,,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE113,Sulfadoxine/Pyrimethamine Allergy?,,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE114,Other Allergies (free text),,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaccination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE115,Tetanus Toxoid (VAT) Dose Number,,coding,"1a dose
2a dose 
3a dose
4a dose
5a dose
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE116,VAT Dose Date,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE117,Malaria Vaccine (TIP) Dose Number,,coding,"1a dose
2a dose 
3a dose
4a dose
5a dose
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE118,Malaria Vaccine Dose Date,,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE119,Date of Last Consultation (Banner),,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE120,Consultation Number (Banner),,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE121,LMP (Banner),,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE122,EDD (Banner),,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE123,ARO Flag (Banner),,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE29,Past Obstetric History (link),"References the obstetric history captured during prenatal consultation (CPN_FR3). Shown only if not a first-time mother, avoiding duplicate data entry.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE31,Live Birth in This Delivery?,"Confirms whether the baby from this delivery was born alive, used to determine whether a newborn postnatal consult is needed.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE32,Had Haemorrhagic Complications?,"Documents whether the woman experienced bleeding complications during or after delivery, a key postpartum risk factor.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE33,Had Hypertension / Eclampsia?,Records whether the woman had high blood pressure or eclamptic seizures during pregnancy or delivery.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE34,Had Tuberculosis?,"Documents whether the woman had TB during the pregnancy, relevant for newborn prophylaxis decisions.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE35,Had Malaria?,"Records whether malaria was diagnosed during the pregnancy, informing postpartum management.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE36,Had Sepsis?,Documents whether the woman experienced sepsis (severe infection) during the perinatal period.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE37,Had Uterine Rupture?,"Records whether uterine rupture occurred during labour or delivery, critical for postoperative monitoring.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE38,Premature Rupture of Membranes (PROM)?,"Documents whether membranes ruptured before the onset of labour, an infection risk factor.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE39,Chief Complaint,"The woman's primary reason or concern for attending the postpartum consultation, in her own words.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE40,History of Present Illness,Narrative description of the woman's current symptoms and relevant clinical context since the last consultation.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE41,Past Medical History,"Record of significant past illnesses, surgeries, or chronic conditions not captured in obstetric history.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE42,Pain in Lower Abdomen?,"Screens for lower abdominal pain which may indicate uterine infection, retained products of conception, or other complications.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE43,Menstruation Resumed?,"Records whether the woman's menstrual cycle has restarted, relevant for family planning counselling.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE44,Menstruation Resumption Date,The date on which the woman's first postpartum menstrual period began. Captured only if menstruation has resumed.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE45,Resumed Sexual Relations?,"Captures whether the woman has resumed sexual activity, relevant for STI screening and family planning.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE46,Vaginal Bleeding After Intercourse (last 6 months)?,"Screens for post-coital bleeding, which may indicate cervical pathology or STI.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE47,"Urinary Pain, Vaginal Discharge, or Genital Ulcers?","Composite screening question for STI symptoms including dysuria, abnormal discharge, and genital ulceration.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE48,Signs Suggestive of Depression?,"Clinical screening for postpartum depression, a common and underdiagnosed postpartum condition.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE49,Blood Pressure (Systolic),The peak pressure in the arteries during a heartbeat. Elevated values may indicate postpartum hypertension.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE50,Blood Pressure (Diastolic),"The pressure in the arteries between heartbeats. Together with systolic BP, used to diagnose hypertension.",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE51,Temperature,"The woman's body temperature, used to screen for postpartum infection or fever.",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE52,Pulse Rate,"Heart rate in beats per minute. Tachycardia may indicate infection, anaemia, or haemorrhage.",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE53,Respiratory Rate,Number of breaths per minute; elevated values may indicate respiratory infection or compromise.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE54,Weight (kg),"The woman's measured body weight, used to assess nutritional status and calculate BMI.",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE55,Height (m),"The woman's measured standing height, used together with weight to calculate BMI.",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
