Activity ID and name*,Data element ID*,Data element label*,FHIR Mapping,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Annotations,CIEL,"International Classification of Diseases 10th Revision (ICD-10)
code*",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*
MISAU.TB,MISAU.TB.DE.95,Rifampicin (R) + Isoniazid (H),,Regimen consisting of Rifampicin (R) and Isoniazid (H).,codes,,,,,C,The system must automatically make this field mandatory if any of the fields in Screen 5 have been completed.,,,,,1194,,
MISAU.TB,MISAU.TB.DE.96,Months,,Duration of the previous tuberculosis treatment expressed in months.,Numeric,,,,,C,The system must automatically make this field mandatory if any of the fields in Screen 5 have been completed.,,,,,1074,,LP431243-7
MISAU.TB,MISAU.TB.DE.97,Result,,Outcome of the previous tuberculosis treatment episode.,string,,,,,C,The system must automatically make this field mandatory if any of the fields in Screen 5 have been completed.,,,,,159786,,
"Comorbidities (HIV, diabetes)",,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.98,Pathology,,Type or category of co-existing medical condition or pathology.,coding,"Diabetes
Hypertension (HTN)
Liver Disease
Kidney Disease
Mental Illness
Epilepsy
Malnutrition
Others",,,,C,The system must automatically make this field mandatory if any of the fields in Screen 6 have been completed,,,,,,,LP7839-6
MISAU.TB,MISAU.TB.DE.99,Diabetes,,Presence of diabetes mellitus as a comorbid condition.,codes,,,,,C,,,,,,,,LA10529-8
MISAU.TB,MISAU.TB.DE.100,Hypertension,,Presence of hypertension as a comorbid condition.,codes,,,,,C,,,,,,117399,,LA7444-8
MISAU.TB,MISAU.TB.DE.101,Liver Disease,,Presence of liver disease as a comorbid condition.,codes,,,,,C,,,,,,,,LA25810-5
MISAU.TB,MISAU.TB.DE.102,Kidney Disease,,Presence of kidney disease as a comorbid condition.,codes,,,,,C,,,,,,145438,,LA10528-0
MISAU.TB,MISAU.TB.DE.103,Mental Illness,,Presence of mental illness as a comorbid condition.,codes,,,,,C,,,,,,134337,,LA18599-3
MISAU.TB,MISAU.TB.DE.104,Epilepsy,,Presence of epilepsy as a comorbid condition.,codes,,,,,C,,,,,,,,LA16985-6
MISAU.TB,MISAU.TB.DE.105,Malnutrition,,Presence of malnutrition as a comorbid condition.,codes,,,,,C,,,,,,,,LA18401-2
MISAU.TB,MISAU.TB.DE.106,Others,,Indicates other comorbid conditions not listed in predefined categories.,codes,,,,,C,,,,,,5622,,LA46-8
MISAU.TB,MISAU.TB.DE.107,Specify (Other),,Free text field used to specify additional comorbid conditions under “Other.”,string,,,,,C,"The system should only display this field if the “Others” option in the “Condition” field has been selected.Once the “Others” option is selected, this field becomes mandatory.",,,,,,,LA27210-6
MISAU.TB,MISAU.TB.DE.108,Date,,Date when the comorbid condition was recorded or assessed.,date,,,,,C,The system must automatically make this field mandatory if any of the fields in Screen 5 have been completed.,,,,,,,LP182451-7
MISAU.TB,MISAU.TB.DE.109,Treatment,,Treatment provided for the identified comorbid condition.,string,,,,,C,The system must automatically make this field mandatory if any of the fields in Screen 5 have been completed.,,,,,,,LP267354-1
Complaint & History of Present Illness,,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.110,Main Complaint,,Primary symptom or reason for the patient’s visit or consultation.,string,,,,,,,,,,,160531,,LP156501-1
MISAU.TB,MISAU.TB.DE.111,Current medical history,,Clinical description of the patient’s current illness or presenting condition.,string,,,,,,,,,,,,,LP128548-7
MISAU.TB,MISAU.TB.DE.112,Psychomotor Development,,Assessment of the patient’s psychomotor development status.,string,,,,,,,,,,,160277,,
Menstrual History and Pregnancy/Lactation History,,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.113,Menarche,,Age at which the patient experienced the first menstrual period.,,,,,,,,,,,,154175,,
MISAU.TB,MISAU.TB.DE.114,Age ,,Age associated with menarche or menopause history.,,,,,,,,,,,,,,30525-0
MISAU.TB,MISAU.TB.DE.115,Menopause,,Indicates whether the patient has reached menopause.,,,,,,,,,,,,134346,,
MISAU.TB,MISAU.TB.DE.116,Date of the second-to-last menstrual period (date type field),,Date of the patient’s second-to-last menstrual period.,,,,,,,,,,,,1427,,8665-2
MISAU.TB,MISAU.TB.DE.117,Date of last menstrual period (Date type field),,Date of the patient’s most recent menstrual period.,,,,,,,,,,,,1427,,8665-2
MISAU.TB,MISAU.TB.DE.118,Periodicity of cycles in days (numeric field),,Average duration of the menstrual cycle measured in days.,,,,,,,,,,,,160597,,3144-3
MISAU.TB,MISAU.TB.DE.119,Flow characteristics (free text box),,Description of menstrual flow characteristics recorded as free text.,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.120,Pregnant,,Indicates whether the patient is currently pregnant.,coding,"Yes
No",,,,,,,,,,5272,,
MISAU.TB,MISAU.TB.DE.121,Gestational age in weeks,,Gestational age of the pregnancy measured in weeks.,Numeric,,,,,,,,,,,165220,,49051-6
MISAU.TB,MISAU.TB.DE.122,Breastfeeding ,,Indicates whether the patient is currently breastfeeding.,coding,"Yes
No",,,,,,,,,,169176,,LP267627-0
Physical examination,,,,,,,,,,,,,,,,,,
,,Check general module Tab for these data elements,,"Regarding this screen, the system should display the existing Objective Examination form described in line [number].AU_FR 3.2, section:Physical examination Regional of the documentRegarding this screen, the system should display the existing Objective Examination form described in line [number].AU_FR 3.2, section:Physical examination Regional",,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.123,Mucous membranes,,Assessment findings related to the patient’s mucous membranes during physical examination.,string,,,,,,,,,,,,,LP30530-7
MISAU.TB,MISAU.TB.DE.124,Respiratory,,Assessment findings related to the patient’s respiratory system during physical examination.,string,,,,,,,,,,,,,LP29718-1
MISAU.TB,MISAU.TB.DE.125,Abdomen,,Assessment findings related to the patient’s abdominal examination.,string,,,,,,,,,,,,,LP6990-8
MISAU.TB,MISAU.TB.DE.126,Neuromuscular,,Assessment findings related to the patient’s neuromuscular system during physical examination.,string,,,,,,,,,,,,,LP31403-6
Laboratory Tests (BACTERIOLOGY),,,,,,,,,,,,,,,,,,
Request Laboratory Tests,,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.127,Priority ,,Priority level assigned to the laboratory test request.,coding,"Normal
Urgent
",,,,,,,,,,,,82768-3
MISAU.TB,MISAU.TB.DE.128,Normal,,Indicates that the laboratory test request is routine and not time-critical.,codes,,,,,,,,,,,,,LA9035-2
MISAU.TB,MISAU.TB.DE.129,Urgent,,Indicates that the laboratory test request requires immediate attention or expedited processing.,codes,,,,,,,,,,,,,LA26675-1
MISAU.TB,MISAU.TB.DE.130,Laboratory test,,Type or name of the laboratory test being requested.,coding,single selection list with options for the names of laboratory tests ,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.131,Technical Group,,Technical or diagnostic category associated with the laboratory test.,coding,single selection list with options for the types of laboratory tests configured in the system,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.132,Exam Date ,,Date scheduled or recorded for the laboratory examination.,date,,,,,,,,,,,,,
Previously registered results,,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.133,Priority (not editable),,Priority level assigned to the laboratory test request (not editable).,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.134,Request date (not editable),,Date when the laboratory test was requested (not editable).,date,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.135,Exam date (not editable),,Date when the laboratory examination was performed (not editable).,date,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.136,Name of the clinician who requested the exam (not editable),,Name of the clinician who requested the laboratory test (not editable).,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.137,Name of the Laboratory Testing Group,,Name of the laboratory testing group responsible for processing the test.,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.138,Number (non-editable),,Unique identifier number for the laboratory test record (non-editable).,Numeric,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.139,Exam Name (not editable),,Name of the laboratory test performed (not editable).,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.140,Result (not editable),,Result of the laboratory test (not editable).,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.141,Reference Value,,Reference or normal value used for comparison of test results.,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.142,Microscopy,,Microscopy test result for tuberculosis detection.,string,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.143,Xpert,,Xpert MTB/RIF test result for tuberculosis and rifampicin resistance detection.,string,,,,,,,,,,,170389,,
MISAU.TB,MISAU.TB.DE.144,LAM(Lipoarabinomannan),,LAM (Lipoarabinomannan) test result for tuberculosis detection.,string,,,,,,,,,,,167459,,95127-7
MISAU.TB,MISAU.TB.DE.145,Culture,,Culture test result for tuberculosis bacterial growth detection.,string,,,,,,,,,,,,,LP6209-3
Imaging,,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.146,Radiology Tests ,,,,(List of available radiological tests),,,,,,,,,,,,LP29684-5
MISAU.TB,MISAU.TB.DE.147,MRI - Magnetic Resonance Imaging ,,,,(List of available MRI tests),,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.148,Ultrasound ,,,,(List of available ultrasound examinations),,,,,,,,,,852,,LP6572-4
MISAU.TB,MISAU.TB.DE.149,Further observations ,,,string,,,,,,,,,,,,,LP175626-3
MISAU.TB,MISAU.TB.DE.150,Exam date ,,,,,,,,,,,,,,,,
TB Counseling,,,,,,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.151,Adherence Risk Factors,,Assessment of factors that may affect adherence to tuberculosis treatment.,coding,"History of loss to follow-up
Substance/alcohol abuse
Drug intolerance
Signs of depression/anxiety
Lack of family support
Lack of food
Transport problems
Lives far from health facility
Unemployment / financial constraints
Cultural or traditional factors
Stigma / discrimination
Feels very sick / tired
Does not believe diagnosis
Believes cured
Too many pills
Fear of adverse drug reactions",,,,O,,,,,,,,LP73299-7
MISAU.TB,MISAU.TB.DE.152,History of loss to follow-up,,Indicates a previous history of treatment interruption or loss to follow-up.,codes,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.153,Substance/alcohol abuse,,Indicates substance or alcohol abuse that may affect treatment adherence.,codes,,,,,,,,,,,,,LA32628-2
MISAU.TB,MISAU.TB.DE.154,Drug intolerance,,Indicates intolerance or adverse reactions to prescribed medication.,codes,,,,,,,,,,,141746,,
MISAU.TB,MISAU.TB.DE.155,Signs of depression/anxiety,,Indicates signs or symptoms of depression or anxiety.,codes,,,,,,,,,,,,,LP267437-4
MISAU.TB,MISAU.TB.DE.156,Lack of family support,,Indicates lack of family or caregiver support for treatment adherence.,codes,,,,,,,,,,,,,LA32587-0
MISAU.TB,MISAU.TB.DE.157,Lack of food,,Indicates inadequate access to food or nutrition support.,codes,,,,,,,,,,,119533,,
MISAU.TB,MISAU.TB.DE.158,Transport problems,,Indicates transportation-related barriers affecting access to care.,codes,,,,,,,,,,,820,,
MISAU.TB,MISAU.TB.DE.159,Lives far from health facility,,Indicates that the patient lives far from the health facility.,codes,,,,,,,,,,,,,
MISAU.TB,MISAU.TB.DE.160,Unemployment / financial constraints,,Indicates unemployment or financial difficulties affecting treatment adherence.,codes,,,,,,,,,,,,,
