Activity ID and name*,Data element ID*,Data element label*,Data element Description,Data type*,Input option,List to include this data element in,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
URI",ICHI code title,ICHI relationship,"ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.C.HIV,MISAU.C.DE27,HIV Care Home Facility,"Name of the health unit where the patient first enrolled in HIV care, prior to transfer.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE14,HIV Care Home Sector,The department or sector within the originating facility where the patient received HIV care.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE15,ART Start Date,The date on which the patient first initiated antiretroviral therapy. Must be ≥ date of birth.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE16,ART Start Facility,The name of the health unit at which the patient first commenced antiretroviral treatment.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE17,Initial ART Regimen (1st Line),The first ART regimen the patient received when initiating treatment. Selected from the national formulary regimen list.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE18,WHO Stage at ART Initiation,"The WHO HIV clinical staging at the time treatment was started, used for baseline immunological status characterisation.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE19,Pregnant at ART Start?,Documents whether the patient was pregnant at the time antiretroviral therapy was initiated.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE20,Breastfeeding at ART Start?,"Documents whether the patient was breastfeeding at the time of ART initiation, relevant for PMTCT regimen selection.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE21,CD4 at ART Start – Absolute,"The absolute CD4 cell count at the time ART was initiated, used to characterise baseline immunological status.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE22,CD4 at ART Start – Percentage,The CD4 percentage at ART initiation. Mutually exclusive with absolute CD4 and semi-quantitative options.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE23,CD4 at ART Start – Semi-quantitative,Categorised CD4 count at ART initiation when a precise value is unavailable.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE24,Alternative 1st Line Regimen (up to 3),"Records any regimen substitutions within the first line of ART, for example due to toxicity, drug interactions, or pregnancy. Up to 3 entries permitted.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE25,Reason for 1st Line Alternative,The clinical justification for substituting within the first ART line.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE26,Date of 1st Line Alternative,The date on which each first-line alternative regimen was started.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE27,2nd Line Regimen (up to 2),"Records any change to a second-line ART regimen, typically due to confirmed therapeutic failure. Up to 2 entries permitted.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE28,Reason for 2nd Line Change,The clinical justification for escalating to a second-line ART regimen.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE29,Date of 2nd Line Change,The date on which the patient was switched to a second-line ART regimen.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE30,3rd Line Regimen,"Records a change to a third-line ART regimen, reserved for confirmed multi-drug resistance or failure of second-line therapy.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE31,Reason for 3rd Line Change,The clinical justification for escalating to a third-line ART regimen.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE32,Date of 3rd Line Change,The date on which the patient was switched to a third-line ART regimen.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE33,Chief Complaint,"The patient's primary presenting concern or reason for attending the ART consultation, recorded in their own words.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE34,History of Present Illness,"A structured narrative of the patient's current clinical problems, symptoms, and relevant events since the last consultation.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE35,Allergy Registry,"Displays all allergies previously recorded in the system for this patient. Allows addition of new allergies. On initial consultation, shown inline in the flow; on follow-up, accessible via the right sidebar menu.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE36,STI Screening,Sexually transmitted infection screening using the standardised STI screening protocol. Captures symptoms and diagnosis for syndromic STI management.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE37,Cervical Cancer (CACUM) Screening,"Screening for cervical cancer using VIA (visual inspection with acetic acid) or cytology, per the standardised CACUM screening protocol.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE38,Diabetes Screening,"Screening for diabetes mellitus using fasting blood glucose or random blood glucose, per the standardised diabetes screening protocol.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE39,TB Screening,"Tuberculosis symptom screening using the standardised TB screening algorithm, capturing cough, weight loss, fever, and night sweats.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE40,Hypertension (HTA) Screening,Blood pressure-based hypertension screening using the standardised HTA screening protocol.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE41,Medical Conditions / Chronic Diseases,Displays all chronic conditions or significant medical diagnoses previously recorded in the system. Allows addition of new conditions during the consultation.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE42,Menstrual History,"Captures menstrual cycle information relevant to HIV care, including cycle regularity and last menstrual period. Shown only for female patients aged 10 years and older.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE43,Family Planning Method,"The contraceptive method(s) currently being used or chosen by the patient, recorded to support reproductive health within HIV care.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE44,Family Planning – Other (specify),Free text field for specifying a family planning method not covered by the standard options.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE45,Vital Signs,"Auto-displays any vital signs already recorded for this patient on the same day, allowing editing. Captures temperature, blood pressure, pulse rate, and respiratory rate per the standard vital signs form.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE46,Weight,"The patient's measured body weight, auto-displayed if already entered on the same day and editable.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE47,Height,"The patient's height. On initial consultation, always captured. On follow-up, for patients ≥18 years, auto-populated from the most recent consultation and editable.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE48,BMI,Body Mass Index auto-calculated from weight and height. A value <16 kg/m² is listed as a danger/warning sign in the Master Record.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE49,MUAC,"Mid-upper arm circumference for nutritional assessment, used to classify acute malnutrition especially when weight/height are unreliable.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE50,Nutritional Assessment,"Composite nutritional status classification based on BMI, MUAC, and clinical assessment, following the national nutritional assessment protocol.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE51,General State,"Clinician's overall descriptive assessment of the patient's appearance, comfort, and distress level at the time of consultation.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE52,Level of Consciousness,"Standardised assessment of the patient's alertness and neurological responsiveness (e.g., Alert, Voice, Pain, Unresponsive). An altered level of consciousness is a documented danger sign.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE53,Regional Physical Examination,"Structured body-systems physical examination. On initial consultation, shown inline in the flow; on follow-up, available via the right sidebar menu only.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE54,Neurological Examination,"Standardised neurological assessment including motor function, reflexes, and cognition. On initial consultation, shown inline; on follow-up, accessible via the sidebar menu.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE55,Diagnoses,"ICD-10 or SNOMED coded diagnoses recorded during the consultation, including opportunistic infections, comorbidities, and HIV-related conditions.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE56,WHO HIV Stage (Current),"The patient's current WHO HIV clinical stage (I–IV), which determines treatment eligibility and clinical urgency. Required field. On follow-up, auto-populated from the previous consultation and editable.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE57,Adherence to ART,"Assessment of the patient's adherence to their antiretroviral regimen, classified as Good, At-Risk, or Poor based on the clinician's evaluation and patient-reported pill-taking behaviour.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE58,Side Effects,"Captures any adverse reactions or side effects experienced by the patient in relation to their ART regimen. On initial consultation, shown only for transferred patients. On follow-up, shown for all patients and auto-populated from the previous consultation.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE59,MDS Eligibility (Differentiated Service Model),"Records which Differentiated Service Model(s) the patient is eligible for, determining their care delivery modality and follow-up frequency. Multiple models may be assigned. On follow-up, auto-populated and editable.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE60,MDS State,"The current status of each assigned Differentiated Service Model — whether the patient is starting, continuing, or ending that model.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE61,Another MDS Model (specify),Free text description for a differentiated service model not covered by the standard MDS list.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced HIV Disease (DAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE62,Chemotherapy Indication (Kaposi's Sarcoma),Records whether chemotherapy for Kaposi's sarcoma has been indicated for this patient. Displayed only for patients enrolled in the DAH (Advanced HIV Disease) differentiated service model with status Start or Continue.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE63,Chemotherapy Cycle Number,The sequential cycle number of Kaposi's sarcoma chemotherapy being administered. Each cycle number can only be selected once per patient record.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE64,Chemotherapy Cycle Start Date,The date on which the current chemotherapy cycle commenced.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE65,Chemotherapy Cycle End Date,The date on which the current chemotherapy cycle was completed.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE66,Chemotherapy Regimen (Kaposi's Sarcoma),"The specific chemotherapy regimen used for Kaposi's sarcoma treatment, selected from approved national regimens.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE67,Chemotherapy Regimen – Other (specify),Free text description for a Kaposi's sarcoma chemotherapy regimen not covered by the standard options.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APSS  & PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE67,Reason for Consultation,"The type or purpose of this APSS&PP session, classified as a Normal/routine visit, Absent (missed appointment follow-up), Restart (return after interruption), or AMA (Adherence Strengthening).",coding,"Normal/routine visit, Absent (missed appointment follow-up), Restart (return after interruption), or AMA (Adherence Strengthening).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE68,Acceptance of Diagnosis,"Records whether the patient has accepted their HIV-positive diagnosis. Shown only during the first two APSS&PP appointments, as part of ART preparation counselling.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE69,Importance of Starting ART,Documents whether the patient understands the importance and benefits of commencing antiretroviral therapy. Shown only during the first two APSS&PP appointments.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE70,Advantages of Involving a Confidant,Records whether the counsellor discussed the benefits of having a trusted support person involved in the patient's care and treatment. Shown only during the first two APSS&PP appointments.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE71,Counselling Observations,"Free text notes from the counsellor about the content of the ART preparation counselling session, including any key concerns raised.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE72,Date Patient Ready to Start ART,"The date on which the patient indicated they are psychosocially ready to commence antiretroviral therapy, as determined through the counselling process.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE73,Are There Psychosocial Factors Affecting Adherence?,Screening question to determine whether any psychosocial barrier to ART adherence is present. A Yes response triggers display of the detailed psychosocial factors list.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE74,Psychosocial Factors Affecting Adherence,"Multi-select list of specific psychosocial, social, or structural barriers that may prevent or reduce the patient's adherence to ART. Enables targeted counselling and referral planning.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE75,Caregiver Consent for Diagnostic Disclosure,Records whether the child's caregiver(s) have given consent for the child's HIV diagnosis to be disclosed to the child. Required step in the paediatric and adolescent disclosure process.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE76,Diagnostic Disclosure Status,"The current stage of HIV diagnosis disclosure to the child or adolescent — whether no disclosure has occurred, partial disclosure, or full disclosure has been completed.",coding,"no disclosure has occurred, partial disclosure, or full disclosure has been completed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE77,Child Knows Own Name and Caregivers' Names,"Developmental readiness assessment: documents whether the child can identify themselves and their caregivers by name, a prerequisite for disclosure.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE78,Child Manages Personal Hygiene Independently,"Developmental readiness: documents whether the child can independently manage personal hygiene tasks (bathing, teeth, hair), indicating readiness for increased health responsibility.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE79,Child Can Explain Importance of Daily Medication,Assesses whether the child understands and can explain why taking medication every day without fail is important for their health.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE80,Child Knows Medication Timing and Dosage,Assesses whether the child knows the specific details of their medication schedule — the time and dose to take each day.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE81,Child Receives Caregiver Support for Medication and Visits,Documents whether the child receives adequate support from their caregivers to take medication consistently and attend health facility appointments.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE82,Caregivers Understand Advantages of Starting RDT,Records whether the primary and secondary caregivers have been informed of and understand the benefits of initiating the child's HIV treatment (RDT).,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE83,1st and 2nd Caregivers Prepared to Start RDT,Documents whether both primary and secondary caregivers are emotionally and practically prepared for the child to begin HIV treatment.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE84,Patient Ready to Start RDT?,Records the counsellor's assessment of whether the patient (child or adolescent) themselves is psychologically ready to commence HIV treatment.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE85,Who Will Disclose the Diagnosis?,Documents the planned disclosure method — whether the diagnosis will be revealed by a caregiver or by a health care provider.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE86,Where Will Disclosure Take Place?,Documents the planned disclosure setting — whether at home or at the health facility.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE87,Proposed Date for Disclosure (RDT),The planned calendar date on which the HIV diagnosis will be disclosed to the child or adolescent.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
