Activity ID and name*,Data element ID*,Data element label*,FHIR Mapping,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.E.Pharmacy,MISAU.E.DE19,Next Request Date,,Scheduled date for the next medication request.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE20,State,,Current status of the medication request.,coding,"Pending 
Completed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE21,Pending,,Indicates that the medication request is awaiting processing or completion.,codes,,,,,,,,,,,,162866,,,,,,,,,,LA29487-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE22,Completed,,Indicates that the medication request has been fulfilled or finalized.,codes,,,,,,,,,,,,,,,,,,,,,,LA6637-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE23,"Request No. - Request Number
",,Unique number assigned to the medication request record.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE24,Health Unit,,Health facility or unit associated with the medication request.,string,,,,,,,,,,,,1537,,,,,,,,,,	76696-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE25,District,,Administrative district associated with the health facility.,string,,,,,,,,,,,,162689,,,,,,,,,,104933-7,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE26,Province,,Administrative province associated with the health facility.,string,,,,,,,,,,,,165851,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE27,Outpatient pharmacy,,Outpatient pharmacy responsible for dispensing or managing the medication request.,date,,,,,,,,,,,,,,,,,,,,,,LP172754-6,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE28,MONTH/YEAR,,Reporting month and year associated with the medication request or stock record.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE29,Entry guide code,,Unique identifier assigned to the stock entry guide or record.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE30,Guide provider,,Provider or source responsible for issuing the stock entry guide.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE31,Entry date,,Date when the stock entry was recorded.,date,,,,,,,,,,,,,,,,,,,,,,LP74696-3,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE32,Supplier,,Supplier providing the medications or stock items.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE33,Notes,,Additional remarks or comments related to the stock entry.,string,,,,,,,,,,,,,,,,,,,,,,LP74178-2,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE34,Drug Name,,Name of the medication or drug entered into stock.,string,,,,,,,,,,,,,,,,,,,,,,74062-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE35,Lot Number,,Unique batch or lot identifier assigned to the medication.,Numeric,,,,,,,,,,,,,,,,,,,,,,106187-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE36,Expiration date,,Date after which the medication should no longer be used.,date,,,,,,,,,,,,162502,,,,,,,,,,74712-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE37,Loaded Quantity,,Quantity of medication added into stock.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE38,Medication,,Medication associated with the stock transaction.,string,,,,,,,,,,,,,,,,,,,,,,74062-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE39,Lot Number,,Unique batch or lot identifier assigned to the medication.,Numeric,,,,,,,,,,,,,,,,,,,,,,106187-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE40,Quantity requested,,Quantity of medication requested from stock.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE41,Quantity supplied,,Quantity of medication supplied or issued from stock.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE42,Deficit*,,Difference between the quantity requested and the quantity supplied.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE43,Notes,,Additional remarks or comments related to the stock transaction.,string,,,,,,,,,,,,,,,,,,,,,,LP74178-2,,,,,,,,,,,
Stock Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE44,FNM,,,Numeric,,,,,,,,,,,,,,,,,,,,,,51726-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE45,Drug Name,,,string,,,,,,,,,,,,,,,,,,,,,,74062-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE46,Pharmaceutical Form,,,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE47,Dosage,,,string,,,,,,,,,,,,,,,,,,,,,,LP6801-7,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE48,Quantity in stock,,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE49,Average Monthly Consumption,,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE50,State of Consumption,,,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE51,View expiration date,,,date,,,,,,,,,,,,,,,,,,,,,,74712-1,,,,,,,,,,,
Stock Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE52,Drug name,,Name of the medication involved in the stock movement transaction.,string,,,,,,,,,,,,,,,,,,,,,,74062-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE53,Total Quantity in Stock,,Total quantity of the medication currently available in stock.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE54,Operation Type,,Type of stock transaction recorded in the system.,coding,"Adjustment Negative
Positive Adjustment
Waste
Consumption
Sale
Improper for Consumption ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE55,Adjustment Negative,,"Stock operation indicating a decrease in recorded stock due to correction, reconciliation, or audit adjustment.",codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE56,Positive Adjustment,,"Stock operation indicating an increase in recorded stock due to correction, reconciliation, or stock correction entry.",codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE57,Waste,,"Stock operation indicating removal of items due to damage, expiry, or loss making them unusable.",codes,,,,,,,,,,,,169093,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE58,Consumption,,Stock operation indicating use of stock for clinical or patient care activities.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE59,Sale,,Stock operation indicating issuance of stock through a sale or dispensing transaction where applicable.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE60,Improper for Consumption,,"Stock operation indicating segregation of items that are not fit for use in care due to quality, damage, or expiry.",codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE61,Lot number,,Batch or lot identifier associated with the medication.,Numeric,,,,,,,,,,,,,,,,,,,,,,106187-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE62,Quantity,,Quantity of medication involved in the stock movement transaction.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE63,Lot validity ,,Validity or expiry status of the medication batch or lot.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE64,Destination,,Destination or receiving unit for the stock movement.,string,,,,,,,,,,,,,,,,,,,,,,LP149978-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE65,Document/Guide Number,,Reference number of the document or guide associated with the stock movement.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE66,Subscriber,,Person or entity responsible for initiating or recording the stock movement.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE67,Notes,,Additional remarks or comments related to the stock movement.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE68,Reason for the Movement,,Justification or reason for the stock movement transaction.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE69,Start Date ,,Start date of the stock record period.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE70,End Date,,End date of the stock record period.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE71,US,,Health unit or service identifier (US) associated with the record.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE72,District,,Administrative district where the health facility is located.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE73,Province,,Administrative province where the health facility is located.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE74,Ward Name,,Name of the ward associated with the health facility or stock record.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE75,Pharmacy Name,,Name of the pharmacy managing or reporting the stock.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE76,FNM,,FNM code identifying the medication in the national formulary.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE77,"Designation (Name, Dosage, Pharmaceutical Form)",,"Medication details including name, dosage, and pharmaceutical form.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE78,Expiration Dates,,Expiration dates of the recorded medication batches.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE79,Movement Date,,Date when a stock movement occurred.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE80,Origin/Destination of the Movement,,Origin or destination location of the stock movement.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE81,Document No.,,Reference number of the document associated with the stock movement.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE82,Tickets,,Quantity of stock received into the facility.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE83,Departures,,Quantity of stock issued or dispatched from the facility.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE84,Negative Adjustments,,Quantity reduced due to negative stock adjustments.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE85,Positive Adjustments,,Quantity increased due to positive stock adjustments.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE86,Waste,,Quantity of stock lost due to waste.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE87,Consumption,,Quantity of stock used for patient consumption or clinical use.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE88,Existing Stock,,Current available stock balance.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE89,Dismissed,,Indicates stock that has been written off or removed from active inventory.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE90,Address,,Physical or administrative address of the health facility or pharmacy.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE91,Inventory Type,,Type of inventory being conducted for stock management purposes.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE92,Inventory Date,,Date when the inventory was carried out or recorded.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE93,Closing Date,,Date when the inventory was closed or finalized.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE94,Created By,,User or staff member who created or initiated the inventory record.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE95,State,,Current status of the inventory record.,coding,"Open
Closed
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE96,Open,,Indicates that the inventory record is currently open and active.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE97,Closed,,Indicates that the inventory record has been closed and finalized.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE98,Notes,,Additional remarks or comments related to the inventory process.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE99,Lot Number,,Batch or lot identifier for the medication included in the inventory.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE100,FNM Code (Non-editable field),,Non-editable FNM code identifying the medication in the national formulary.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE101,Drug name (Non-editable field),,Non-editable name of the medication or drug.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE102,Validity,,Validity or expiration status of the medication lot.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE103,Stock Actual,,System-recorded actual stock quantity before physical counting.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE104,Quantity Counted,,Physically counted quantity of stock during inventory verification.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE105,Prescription Number,,Unique identifier assigned to the prescription record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE106,Date – Prescription date,,Date when the prescription was issued or recorded.,,,,,,,,,,,,,,,,,,,,,,,	82765-9,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE107,Health service,,Health service or facility where the prescription was created.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE108,State – State of prescription,,Current status of the prescription record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE109,Prescription Type,,Category of prescription based on clinical purpose or service type.,coding,"GENERAL
DIETETICS
THERAPEUTIC
INTEREST
PrEP 
TPT
TB
",,,,,,,,,,,,,,,,,,,,,57833-6,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE110,GENERAL,,General prescription issued for routine or standard medical care.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE111,DIETETICS,,Prescription related to dietary or nutrition-based clinical management.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE112,THERAPEUTIC,,Prescription issued for therapeutic treatment or clinical intervention.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182816009,,,
MISAU.E.Pharmacy,MISAU.E.DE113,INTEREST,,Prescription issued based on special clinical interest or program-specific indication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE114,PrEP,,Prescription for pre-exposure prophylaxis (PrEP) for prevention of HIV infection.,codes,,,,,,,,,,,,166536,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE115,TPT,,Prescription for tuberculosis preventive therapy (TPT).,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE116,TB,,Prescription related to tuberculosis (TB) treatment or management.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register General Medical Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE117,FNM,,Unique identifier for the medicine based on the national formulary (FNM).,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE118,Name of the medicine (single selection list of medicines),,Name of the prescribed medicine selected from a predefined list of medicines.,coding,,,,,,,,,,,,,,,,,,,,,,74062-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE119,Administration route,,Route through which the medicine is administered to the patient.,coding,"Apply to both eyes.
Apply to the right eye.
Apply to the left eye.
Apply to both ears.
Apply to the right ear.
Apply to the left ear.
EV (Endovenous)
IM (Intramuscular)
IV (Intravenous)
The Vagina (Via Vagina)
Nebulization
Oral
SC (Subcutaneous)
Sublingual
Topical
Cutaneous route
Via epidural
Via nasal
Transdermal route (patch)
VR (via rectal)
",,,,,,,,,,,,,,,,,,,,,74051-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE120,Apply to both eyes,,Administration of medicine applied to both eyes.,codes,,,,,,,,,,,,,,,,,,,,,,LA9444-6,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE121,Apply to the right eye,,Administration of medicine applied to the right eye.,codes,,,,,,,,,,,,,,,,,,,,,,LA9444-7,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE122,Apply to the left eye,,Administration of medicine applied to the left eye.,codes,,,,,,,,,,,,,,,,,,,,,,LA9444-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE123,Apply to both ears,,Administration of medicine applied to both ears.,codes,,,,,,,,,,,,,,,,,,,,,,LA9445-3,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE124,Apply to the right ear,,Administration of medicine applied to the right ear.,codes,,,,,,,,,,,,,,,,,,,,,,LA9445-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE125,Apply to the left ear,,Administration of medicine applied to the left ear.,codes,,,,,,,,,,,,,,,,,,,,,,LA9445-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE126,EV (Endovenous),,Administration of medicine through the endovenous (venous) route.,codes,,,,,,,,,,,,,,,,,,,,,,	LA9437-0,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE127,IM (Intramuscular),,Administration of medicine through intramuscular injection.,codes,,,,,,,,,,,,,,,,,,,,,,LA9429-7,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE128,IV (Intravenous),,Administration of medicine through intravenous injection.,codes,,,,,,,,,,,,,,,,,,,,,,LA9437-0,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE129,The Vagina (Via Vagina),,Administration of medicine via the vaginal route.,codes,,,,,,,,,,,,,,,,,,,,,,LA9459-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE130,Nebulization,,Administration of medicine through nebulization.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE131,Oral,,Administration of medicine taken orally by mouth.,codes,,,,,,,,,,,,,,,,,,,,,,LA20324-2,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE132,SC (Subcutaneous),,Administration of medicine through subcutaneous injection.,codes,,,,,,,,,,,,,,,,,,,,,,	LA9451-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE133,Sublingual,,Administration of medicine placed under the tongue for absorption.,codes,,,,,,,,,,,,,,,,,,,,,,LA20324-2,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE134,Topical,,Administration of medicine applied to the skin surface.,codes,,,,,,,,,,,,,,,,,,,,,,LA20272-3,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE135,Cutaneous route,,Administration of medicine applied through the cutaneous route (skin application).,codes,,,,,,,,,,,,,,,,,,,,,,LA20272-3,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE136,Via epidural,,Administration of medicine delivered via the epidural route.,codes,,,,,,,,,,,,,,,,,,,,,,LA9418-0,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE137,Via nasal,,Administration of medicine administered through the nasal route.,codes,,,,,,,,,,,,,,,,,,,,,,LA9263-0,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE138,Transdermal route (patch),,Administration of medicine delivered through a transdermal patch.,codes,,,,,,,,,,,,,,,,,,,,,,LA20272-3,,,,,,,,,,,
