Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data type*,List to include this data element in,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,CIEL Uniform Resource Identifier (URI),CIEL code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
URI",ICHI code title,ICHI relationship,"ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
,,Tuberculosis,,Codes,,,,,,,,,,,,,,3948000:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PTV/ETV,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prenatal Consultation (CPN),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TB Sensitive,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Drug-Resistant TB (XDR-TB),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pediatric TB,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TPT,,Codes,,,,,,,,,,,,,,4081464:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE3,Start Date,The date on which the patient is being enrolled / registered for this service.,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE4,End Date,"The date on which the service episode ends for this patient — i.e., when they are discharged, complete, or transferred out. ",Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE5,Transferred from Another Health Unit?,Checkbox flag indicating that this patient is enrolling as a transfer-in from another facility. ,Boolean,,,,,,,,,,,,,,160535,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE6,Province,The province in which the patient's previous health unit is located. Drives the filtered list of districts available in the next field.,Coding,,,,,,,,,,,,LP421568-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE7,District,The district within the selected province where the patient's previous health unit is located. Filtered dynamically based on the Province selected above.,Codes,,,,,,,,,,,,104933-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE8,Health unit,The specific health unit from which the patient is transferring. Selected from the list of registered health units in the selected district.,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE9,Other health unit,"Free text field for specifying the name of a health unit that is not registered in the system — for example, a private provider or facility from another country.",String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE10,Date,The calendar date on which the patient was transferred out of their previous health unit.,Date,,,,,,,,,,,,,,170168,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE11,State,The current status or classification of the patient's enrolment in this service,Coding,Service-specific options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARV Service: Status of Contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE11,First name,"First name of a household or sexual contact of this patient, used for index case contact tracing and HIV testing outreach.",String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE12,Surname,Surname of the patient's contact person.,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE13,Sex,"Biological sex of the contact person, used for demographic profiling and testing logistics.",Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE14,Male,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE15,Female,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE16,Age,Age in years of the contact person at the time of registration.,Quantity,,Integer quantity,,,,,,,,,,        30525-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE17,Degree of kinship,,Coding,List of Kinship options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE18,        Friend or Colleague,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE19,        Grandmother,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE20,        Neighbourhood Leader,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE21,        Son,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE22,        Brother,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE23,        Mother,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE24,        Grandson,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE25,        Grandfather,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE26,        Partner,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE27,        Father,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE28,        Uncle / Aunt,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE29,        Worker,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE30,        Neighbour,,Codes,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE31,        Other,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE33,State,"The known HIV testing status of the contact person, used to identify contacts with unknown status who need testing.",Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE34,         HIV Positive — on ART,The contact person is HIV positive and on ART,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE35,        HIV Positive — not on ART,The contact person is HIV positive and not on ART,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE36,         HIV Negative,The contact person is HIV negative,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE37,         Unknown,The HIV status is unknown,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE38,        Refused Test,The contact person refused to be tested for HIV,Codes,,,,,,,,,,,,127750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE39,Not,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART Service: Consent Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE5,Patient Consents to Contact Testing?,Records whether the index patient gives explicit consent for their contact person to be approached and offered HIV testing. ,Boolean,,,,,,,,,,,,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE6,Yes,,Input option,Enables Preferred Testing Location and Expected Testing Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE7,No,,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE8,Preferred Testing Location,The location at which the contact person prefers to be tested for HIV,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE9,Home,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE10,Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE11,Expected Testing Date,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informed Consent,,,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE5,Patient / Caregiver Agrees to Be Contacted?,Records whether the patient or their caregiver consents to being contacted by the health unit for follow-up purposes. ,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE6,Yes,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE7,No,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE8,Contact Method,The preferred method(s) by which the health unit may contact the patient or caregiver.,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE9,        Accepts Home Visits,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE10,        Telephone Call,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE11,        SMS / Text Message,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,State — ART (TARV) Service,The enrolment status of the patient within the ART (TARV) service.,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Initial:    Registered,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE5,        Initial:    Transferred from another Health Unit  (set automatically on transfer-in),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE6,        Intermediate:  Transferred to another Health Unit  (triggers Transfer User form),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE7,          Intermediate:  Treatment Suspended,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE8,       Intermediate:  Abandonment  (next withdrawal date + 28 days > today),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE9,"         Intermediate:  Active, not a programme  (set after 1st ARV dispensing at pharmacy)",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE10,"        Terminal:  Death  (transversal — linked to patient record, not service)",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  PREP SERVICE – ENROLMENT STATES,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE5,State — PrEP Service,"The enrolment status of the patient within the PrEP (Pre-Exposure Prophylaxis) service. A patient may only hold one active ART, CCR, or PrEP enrolment at a time (PROG_BR2).",Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE6,"  Initial:    Active, not a programme (PrEP)",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE7,  Initial:    Transferred from another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE8,  Intermediate:  Transferred to another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE9,    Intermediate:  Exit — No further substantial HIV risks,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE10, Intermediate:  Exit — Side effects,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE11,  Intermediate:  Exit — User preference,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE12, Terminal:  Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE13,Terminal:  Exit — Tested HIV Positive,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SMI – CCR (CHILD AT RISK CONSULTATION) — ADDITIONAL ENROLLMENT FIELDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE5,Risk Conditions,The specific clinical risk factor(s) that qualify this child for the CCR (Child at Risk Consultation) programme. Multiple selections are permitted. Displayed only for neonatal patients aged up to 90 days.,Coding,"If the user is neonatal (up to 90 days old), the system displays:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE6, Newborn with low birth weight (< 2.5 kg),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE7,  Prematurity,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE8,   Twins,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE9,  Artificial milk (formula feeding),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE10,   Abrupt/early weaning,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE11,  HIV exposure,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE12,   Syphilis exposure,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE13,   Contact with tuberculosis,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE14,   Mother with Hepatitis,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE15,  Acute Malnutrition,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE16,  Absent mother,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE17, Deceased mother,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE18,Recent migration history,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE19, Other  (enables free-text specification field),,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CCR Service — Enrolment States,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE19,State — CCR Service,The enrolment status of the child within the CCR programme.,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE20,"Initial:    Active, not a programme",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE21,Initial:    Transferred from another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE22,Intermediate:  Transferred to another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE23,Intermediate:  Transferred to TB Sector,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE24, Intermediate:  Transferred to Healthy Child Consultation (CCS),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE25,Intermediate:  Abandonment,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE26, Terminal:  Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE27,Terminal:  Transferred to Integrated Queries,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    CCS – Healthy Child Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE29,State — CCS Service,The enrolment status of the child within the Healthy Child Consultation (CCS) programme.,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE30," Initial:    Active, not a programme",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE31, Initial:    Transferred from another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE32,Intermediate:  Transferred to Child Sickness Consultation (CCD),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE33, Intermediate:  Abandonment,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE34,Terminal:  Finished,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE35,Terminal:  Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE36,Terminal:  Transferred to another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE37,Terminal:  Transferred to CCR (Child at Risk),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     PTV / ETV – Prevention of Mother-to-Child Transmission (PMTCT),,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE37,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE38,State — PTV / ETV Service,The enrolment status of the patient within the PTV / ETV (PMTCT) programme,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE39,Initial:    Pregnant,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE40,"Initial:    Active, not a programme",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE41, Terminal:  Terminated pregnancy,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE42,Terminal:  Discharge / Completed,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    CPN – Prenatal Consultation,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE42,State — CPN Service,The enrolment status of the patient within the Prenatal Consultation (CPN) programme.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE43,Initial:    Active,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE44,Initial:    Transferred from another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE45,Intermediate:  Transferred to another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE46,Terminal:  Terminated pregnancy,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
